,collocate,raw_frequency,MI
151,smallest,2,8.56716289231632
138,considers,2,8.610662567087259
139,madness,2,8.583001987889768
120,exists,2,8.606921753297296
114,wimmin,2,8.607500513129374
38,scandalised,1,9.51740371623013
190,acknowledges,1,9.574309110057289
172,mannikins,1,9.55441229387004
219,purer,1,9.62772409333286
208,vulgar,1,9.595148772177865
